"T","Time","Sym","C/P","Exp","Strike","Spot","BidAsk","Prop","Score","Orders","Vol","Prems","OI","StockDiff($)","Diff(%)","Sweeps%","Delta","Theta","Ivol","ITM","Change","Flow"
"2024-03-21 12:17:26","10d ago","PANW","Calls","Mar 28","295","288.93","2.97","0.29","","6","808.00","207.96K","566.00","6.96","2.42","50","0.35","-0.35","32.8","0","0",""
"2024-03-21 12:05:03","10d ago","AHCO","Calls","Dec 20","12.5","10.99","1.62","0.83","","5","1.83K","313.49K","8.62K","1.47","13.35","80","0.51","0","58.29","0","15.38",""
"2024-03-21 11:36:24","10d ago","GLBE","Calls","Oct 18","55","38.12","1.88","1","","5","1.13K","217.81K","4.00","16.75","43.8","100","0.26","-0.01","51.71","0","-24",""
"2024-03-21 10:09:36","10d ago","XLE","Calls","May 17","95","92.5","1.79","0.43","","6","1.90K","338.88K","17.39K","2.6","2.81","100","0.41","-0.02","17.19","0","33.52",""
"2024-03-21 10:02:47","10d ago","AMZN","Calls","Mar 28","182.5","180.14","1.41","0.26","","10","4.53K","583.13K","4.01K","2.68","1.49","60","0.36","-0.16","22.92","0","0",""
"2024-03-20 14:48:32","11d ago","SHAK","Calls","May 17","115","107.24","5.05","0.83","","5","762.00","386.52K","241.00","7.99","7.46","100","0.41","-0.06","45.55","0","-33.66",""
"2024-03-20 13:47:36","11d ago","SBUX","Calls","May 17","95","91.89","2.41","0.38","","5","2.70K","646.82K","4.10K","3.16","3.44","80","0.41","-0.03","23.93","0","-18.5",""
"2024-03-20 10:19:29","11d ago","VIX","Calls","Apr 17","20","14.93","0.48","0.33","","5","6.50K","318.50K","288.64K","5.07","34","0","0.22","-0.02","112.03","0","-53.68",""
"2024-03-20 10:12:23","11d ago","AAPL","Calls","Jun 21","190","175.76","3.43","0.25","","16","1.60K","549.80K","27.56K","14.33","8.16","0","0.3","-0.04","21.76","0","-34.45",""
"2024-03-20 09:33:28","11d ago","META","Calls","Mar 22","520","497.19","0.69","0.5","","8","5.28K","375.78K","13.21K","22.07","4.43","75","0.09","-0.52","41.74","0","0",""
"2024-03-19 12:19:47","12d ago","CRBG","Puts","Jul 19","25","26.03","1.3","0.71","","5","2.25K","301.96K","15.25K","0.95","3.82","80","-0.38","-0.01","30.78","0","-46.15",""
"2024-03-19 12:11:45","12d ago","UBER","Puts","Jan 2025","67.5","75.51","6","0.38","","5","303.00","183.31K","1.74K","8.01","11.87","80","-0.28","-0.02","41.26","0","-6.25",""
"2024-03-19 11:53:23","12d ago","ZS","Calls","Jan 2026","370","192.23","14.32","0.83","","5","977.00","1.43M","2.91K","177.75","92.46","0","0.27","-0.03","44.97","0","-11.17",""
"2024-03-19 10:00:53","12d ago","PGR","Calls","May 17","210","205.92","6.95","0.88","","7","1.06K","748.30K","4.68K","3.96","1.92","28.57","0.46","-0.07","25.2","0","-5.04",""
"2024-03-19 09:44:29","12d ago","PLTR","Calls","Jun 21","30","23.08","1.05","0.4","","8","5.40K","589.94K","25.89K","6.77","29.16","37.5","0.27","-0.01","63.36","0","-19.91",""
"2024-03-18 15:35:00","13d ago","EFA","Puts","May 17","75","78.93","0.4","0.64","","7","36.89K","1.55M","12.85K","3.93","5.24","71.43","-0.16","-0.01","15.18","0","-38.27",""
"2024-03-18 15:26:08","13d ago","OVV","Calls","May 17","55","50.67","1.02","0.83","","5","1.48K","155.61K","552.00","4.33","8.55","100","0.3","-0.02","29.36","0","7.32",""
"2024-03-18 12:26:56","13d ago","ADI","Puts","Apr 19","185","193.95","2.15","1","","5","840.00","170.71K","539.00","9.77","5.28","100","-0.24","-0.07","26.06","0","-69.77",""
"2024-03-18 10:25:25","13d ago","XLE","Calls","Jul 19","100","91.07","1.28","1","","5","1.41K","179.41K","785.00","9","9.89","100","0.24","-0.01","18.43","0","35.16",""
"2024-03-18 09:59:23","13d ago","MSTR","Calls","Apr 12","2500","1641.96","81.03","0.71","","12","2.22K","17.84M","3.12K","847.24","51.28","16.67","0.24","-4.46","168.89","0","-58.96",""
"2024-03-15 15:00:59","16d ago","XLF","Puts","Jan 2025","39","40.84","1.42","0.35","","6","1.83K","265.02K","73.68K","1.83","4.68","16.67","-0.31","0","18.24","0","-24.91",""
"2024-03-15 14:14:06","16d ago","PBR","Puts","Apr 19","14","14.6","0.29","0.36","","5","8.26K","242.85K","23.29K","0.63","4.54","100","-0.31","-0.01","32.44","0","-70.69",""
"2024-03-15 12:49:41","16d ago","CRWD","Calls","Jan 2026","480","317.45","41.92","0.27","","8","686.00","2.87M","2.03K","162.74","51.3","50","0.42","-0.05","44.71","0","-7.57",""
"2024-03-15 10:41:50","16d ago","MA","Puts","Jun 21","440","477.54","5.45","0.62","","5","1.05K","615.09K","3.67K","35.32","8.03","0","-0.19","-0.07","21.26","0","-20.64",""
"2024-03-15 10:00:25","16d ago","SOUN","Calls","Apr 19","10","8.06","1.23","0.45","","5","2.68K","317.25K","9.40K","2","25.05","80","0.47","-0.03","192.59","0","-89.8",""
"2024-03-15 09:54:23","16d ago","FOUR","Calls","Apr 19","85","76.72","2.83","0.39","","9","3.00K","884.59K","3.55K","8.01","10.41","44.44","0.33","-0.08","62.14","0","-92.92",""
"2024-03-15 09:43:12","16d ago","TSM","Calls","Apr 19","160","135.79","1.75","0.56","","5","2.33K","418.04K","11.69K","24.07","17.7","100","0.17","-0.08","50.32","0","-66.86",""
"2024-03-15 09:40:31","16d ago","MSFT","Puts","Mar 22","410","419.77","2.47","0.27","","14","5.41K","1.42M","2.76K","9.04","2.2","50","-0.26","-0.36","27.18","0","0",""
"2024-03-14 12:31:27","17d ago","DASH","Puts","Jun 21","110","132.32","3","1","","7","864.00","263.52K","679.00","22.28","20.25","28.57","-0.17","-0.04","44.73","0","-22.87",""
"2024-03-14 10:26:37","17d ago","S","Puts","Jan 2026","13","23.88","1.28","0.36","","5","2.20K","297.00K","15.00","10.9","83.84","100","-0.1","0","58.37","0","-9.8",""
"2024-03-14 10:20:00","17d ago","RIVN","Puts","Jan 2025","7.5","10.94","1.33","0.33","","5","2.70K","367.06K","86.76K","3.47","46.28","100","-0.18","0","88.87","0","-1.5",""
"2024-03-14 10:11:26","17d ago","ADM","Puts","Sep 20","55","58.74","2.82","0.71","","5","590.00","168.15K","989.00","3.73","6.78","100","-0.32","-0.01","28.92","0","-46.9",""
"2024-03-14 10:04:50","17d ago","GLD","Calls","May 17","210","200.32","1.74","0.36","","5","2.10K","364.10K","24.52K","9.7","4.84","100","0.26","-0.03","13.56","0","75.79",""
"2024-03-14 10:00:54","17d ago","PLTR","Calls","Jun 21","26","24.33","2.72","0.31","","5","659.00","180.47K","5.97K","1.61","6.6","80","0.51","-0.02","64.17","0","-37.2",""
"2024-03-14 09:47:44","17d ago","PYPL","Calls","Jan 2025","80","63.54","4.97","0.42","","5","1.01K","512.30K","18.32K","16.3","25.59","40","0.38","-0.01","39.71","0","21.61",""
"2024-03-14 09:12:23","17d ago","SPX","Puts","Mar 14","5135","5175.57","1.48","0.29","","5","2.98K","395.36K","1.71K","40.36","0.79","0","-0.1","-1.45","21.87","0","0",""
"2024-03-13 14:22:20","18d ago","SMR","Calls","Jan 2025","12.5","7.11","0.72","0.6","","6","6.46K","484.80K","5.77K","5.48","78.17","83.33","0.28","0","98.69","0","-41.38",""
"2024-03-13 14:07:46","18d ago","XOP","Puts","Jul 19","130","147.97","2.29","0.71","","5","863.00","219.16K","217.00","16.81","12.93","60","-0.17","-0.02","26.62","0","-48.47",""
"2024-03-13 13:34:07","18d ago","ZI","Calls","May 17","17.5","16.58","1.27","0.71","","5","4.00K","501.48K","1.61K","0.9","5.4","100","0.48","-0.01","57.1","0","-39.22",""
"2024-03-13 13:25:01","18d ago","EMB","Puts","Sep 20","87","89.16","1.42","0.86","","6","1.20K","182.17K","4.00K","2.13","2.45","0","-0.35","-0.01","9.74","0","-30.74",""
"2024-03-13 12:52:17","18d ago","VALE","Calls","Apr 19","13","12.21","0.21","0.5","","5","14.81K","315.81K","14.43K","0.78","6.39","100","0.3","-0.01","30.95","0","-65.12",""
"2024-03-13 11:35:55","18d ago","TIGR","Calls","Jul 19","7","4.91","0.19","0.38","","5","11.13K","180.92K","725.00","2.12","43.49","60","0.22","0","61.44","0","-81.08",""
"2024-03-13 11:28:51","18d ago","GDX","Calls","Jun 21","33","30.33","1.23","0.42","","5","4.79K","593.59K","45.23K","2.68","8.82","20","0.38","-0.01","32.65","0","24.9",""
"2024-03-13 10:00:20","18d ago","NEM","Calls","Jun 21","37.5","34.51","1.49","0.5","","5","3.20K","482.32K","9.31K","2.98","8.64","100","0.38","-0.01","34.88","0","20.2",""
"2024-03-12 14:21:39","19d ago","AIG","Calls","Jun 21","80","75.58","2.12","0.6","","6","1.16K","245.44K","8.89K","4.47","5.92","16.67","0.37","-0.02","23.06","0","36.47",""
"2024-03-12 13:43:38","19d ago","NFLX","Calls","Mar 28","650","609.62","4.33","0.28","","11","2.83K","1.06M","291.00","42.43","6.98","81.82","0.2","-0.36","32.58","0","0",""
"2024-03-12 13:02:51","19d ago","XLF","Puts","Jan 2025","40","40.76","1.74","0.45","","5","962.00","165.56K","60.28K","0.81","2.03","0","-0.38","0","17.4","0","-30.55",""
"2024-03-12 12:50:23","19d ago","RKLB","Puts","Jan 2026","3","4.34","0.7","0.71","","5","2.52K","201.60K","2.97K","1.35","44.97","40","-0.17","0","80.49","0","10.71",""
"2024-03-12 10:27:59","19d ago","BEKE","Calls","Nov 15","16","14.11","1.69","1","","6","1.32K","227.84K","0.00","1.89","13.39","0","0.49","0","48.4","0","-30.77",""
"2024-03-12 10:09:20","19d ago","PLTR","Calls","May 17","30","24.99","1.41","0.3","","10","2.00K","281.98K","17.61K","5.01","20.07","90","0.34","-0.02","70.06","0","-61.48",""
"2024-03-12 09:47:51","19d ago","DG","Calls","Apr 19","170","159.9","5","1","","6","460.00","234.00K","248.00","10.07","6.29","0","0.36","-0.11","42.88","0","-91.1",""
"2024-03-12 08:26:25","19d ago","SPX","Puts","Mar 15","5000","5135.74","3.45","0.71","","5","2.66K","957.96K","185.14K","135.38","2.71","0","-0.08","-2.15","21.04","0","0",""
"2024-03-11 15:53:31","20d ago","CMCSA","Calls","Jun 21","47.5","43.54","1","0.6","","6","2.78K","279.79K","36.20K","3.94","9.05","100","0.3","-0.01","25.02","0","-38",""
"2024-03-11 15:45:55","20d ago","SOXX","Puts","Apr 19","206.67","225.32","3.05","0.5","","6","2.01K","614.32K","183.00","18.47","8.94","83.33","-0.2","-0.09","35.21","0","-76.23",""
"2024-03-11 15:27:30","20d ago","CCL","Puts","Jan 2025","10","16.22","0.44","0.5","","5","4.90K","220.68K","45.82K","6.21","62.15","100","-0.1","0","53.63","0","-19.1",""
"2024-03-11 10:07:28","20d ago","IWM","Puts","Apr 19","196","204.96","2.41","0.28","","26","65.32K","15.30M","41.67K","9.27","4.73","3.85","-0.25","-0.06","22.96","0","-82.95",""
"2024-03-11 09:31:21","20d ago","SPY","Puts","Jun 21","460","510.89","3.04","0.26","","6","842.00","256.81K","67.76K","50.88","11.06","0","-0.12","-0.05","19.01","0","-51.64",""
"2024-03-08 12:34:06","23d ago","ZM","Puts","Sep 20","65","68.02","4.83","0.92","","12","826.00","408.73K","1.34K","2.76","4.25","100","-0.35","-0.02","36.32","0","14.51",""
"2024-03-08 12:00:44","23d ago","GNRC","Calls","May 17","130","117.21","4.8","1","","5","302.00","139.04K","204.00","13.67","11.75","100","0.35","-0.06","44.46","0","59.38",""
"2024-03-08 11:25:24","23d ago","TEAM","Puts","May 17","175","207.99","5.55","0.88","","7","683.00","384.29K","1.51K","33.45","19.11","57.14","-0.19","-0.1","54.72","0","7.21",""
"2024-03-08 10:57:33","23d ago","LYFT","Puts","Apr 19","17","18.94","0.64","0.56","","5","2.09K","133.64K","8.59K","1.95","11.46","100","-0.25","-0.01","59.77","0","-64.06",""
"2024-03-08 10:44:20","23d ago","KWEB","Puts","Apr 19","24","24.91","0.72","0.71","","5","3.56K","251.71K","4.43K","0.92","3.85","100","-0.34","-0.01","35.8","0","-90.21",""
"2024-03-08 09:31:23","23d ago","AAPL","Puts","Jun 21","165","169.24","5.78","0.62","","5","699.00","409.42K","21.78K","4.16","2.52","20","-0.37","-0.04","24.17","0","-23.81",""
"2024-03-07 14:51:24","24d ago","TMUS","Calls","May 17","170","164.34","3.43","0.71","","5","423.00","147.60K","1.43K","5.61","3.41","0","0.4","-0.03","17.58","0","-45.69",""
"2024-03-07 12:07:29","24d ago","CSCO","Puts","Jun 21","47.5","49.08","1.45","0.71","","5","1.69K","242.66K","28.57K","1.62","3.42","20","-0.36","-0.01","21.84","0","-31.83",""
"2024-03-07 10:44:39","24d ago","KWEB","Calls","Jan 2025","30","24.77","2.1","0.71","","5","10.37K","2.20M","27.26K","5.24","21.17","80","0.41","0","38.34","0","10.98",""
"2024-03-06 14:59:17","25d ago","BIDU","Puts","Apr 19","95","99.46","3.02","0.35","","7","1.34K","418.92K","3.71K","4.4","4.63","100","-0.33","-0.05","38.83","0","-86.12",""
"2024-03-06 14:53:44","25d ago","APP","Puts","May 17","57.5","63.17","3.95","0.67","","6","632.00","252.80K","638.00","5.72","9.94","83.33","-0.31","-0.04","62.91","0","-46.84",""
"2024-03-06 14:39:28","25d ago","ABR","Puts","Jun 21","12","12.85","1.22","0.83","","5","1.89K","244.22K","423.00","0.86","7.18","80","-0.4","-0.01","56.05","0","-28.57",""
"2024-03-06 12:47:03","25d ago","XLF","Puts","Dec 20","38","40.63","1.18","0.38","","5","1.80K","213.35K","3.33K","2.62","6.9","100","-0.27","0","19.11","0","-21.19",""
"2024-03-06 12:07:04","25d ago","AVDL","Calls","Jan 2025","17.5","16.51","3.45","1","","9","4.54K","1.59M","741.00","1.09","6.62","11.11","0.59","0","61.92","0","-1.45",""
"2024-03-06 10:27:20","25d ago","ALB","Puts","Jun 21","105","113.08","8.83","0.38","","6","367.00","323.25K","1.87K","8.12","7.73","100","-0.34","-0.06","55.3","0","-69.69",""
"2024-03-06 10:14:04","25d ago","PFE","Puts","Jun 21","26","27.09","1.07","0.3","","8","4.53K","498.96K","22.05K","1.03","3.96","50","-0.37","-0.01","27.47","0","-39.25",""
"2024-03-06 09:46:02","25d ago","ONON","Calls","Jan 2025","50","32.84","1.96","0.71","","17","8.73K","1.83M","5.71K","16.92","51.13","100","0.27","-0.01","48.49","0","2.29",""
"2024-03-06 09:40:11","25d ago","PCT","Calls","Jan 2025","8","6.21","1.8","1","","5","1.14K","214.68K","3.06K","1.73","27.66","40","0.55","0","129.18","0","-5.56",""
"2024-03-05 14:32:00","26d ago","BBIO","Puts","Jan 2025","25","29.48","4.35","0.33","","5","397.00","179.32K","1.51K","4.81","19.23","100","-0.27","-0.01","71.11","0","-4.6",""
"2024-03-05 12:48:16","26d ago","CNQ","Puts","Sep 20","70","72.36","4.8","0.89","","17","1.80K","894.24K","37.00","2.17","3.1","29.41","-0.4","-0.01","28.99","0","-45.83",""
"2024-03-05 12:24:40","26d ago","YPF","Puts","Jan 2026","15","18.5","2.73","0.71","","5","600.00","168.00K","3.14K","3.51","23.42","60","-0.23","0","55.09","0","-3.67",""
"2024-03-05 09:44:27","26d ago","XLK","Puts","Jun 21","195","207.55","3.65","0.47","","9","3.21K","1.15M","4.34K","12.82","6.57","100","-0.25","-0.04","21.85","0","-42.88",""
"2024-03-04 15:37:00","27d ago","AFRM","Calls","Sep 20","55","37.85","5.17","0.27","","6","872.00","466.31K","1.38K","16.81","44.01","100","0.42","-0.02","86.38","0","-15.46",""
"2024-03-04 13:55:48","27d ago","CSCO","Puts","Sep 20","47.5","49.28","2.03","0.35","","6","896.00","182.78K","1.72K","1.78","3.75","50","-0.36","-0.01","21.49","0","-16.95",""
"2024-03-04 13:26:01","27d ago","CYTK","Calls","Jun 21","80","66.83","7.8","0.56","","5","513.00","450.62K","2.08K","11.6","17","100","0.46","-0.05","81.87","0","-2.56",""
"2024-03-04 10:27:05","27d ago","TQQQ","Calls","Mar 08","65","62.78","0.61","0.36","","17","19.51K","1.20M","6.91K","2.18","3.47","47.06","0.29","-0.15","52.5","0","0",""
"2024-03-04 10:25:24","27d ago","DWAC","Calls","Mar 08","56","44.65","0.96","0.45","","5","1.67K","167.30K","211.00","11.63","26.21","100","0.2","-0.33","215.21","0","0",""
"2024-03-04 09:09:33","27d ago","SPX","Puts","Mar 05","5100","5125.44","5.2","0.36","","5","500.00","245.00K","2.84K","26.42","0.52","0","-0.24","-4.76","12.09","0","0",""
"2024-03-01 14:53:55","1m ago","HES","Calls","May 17","165","148.31","2.32","0.43","","6","1.28K","309.56K","3.03K","16.72","11.28","16.67","0.24","-0.04","27.94","0","0",""
"2024-03-01 14:12:49","1m ago","SU","Calls","Sep 20","38","34.92","1.7","0.62","","5","2.15K","369.28K","33.00","3.08","8.8","40","0.4","-0.01","26.48","0","27.06",""
"2024-03-01 12:45:11","1m ago","WBD","Calls","Jan 2026","10","8.7","2.1","0.83","","5","1.18K","254.33K","4.49K","1.28","14.61","60","0.61","0","48.03","0","0.24",""
"2024-03-01 10:50:09","1m ago","SLV","Calls","Jan 2025","24","20.99","1.21","0.29","","5","2.70K","326.28K","66.04K","3.04","14.52","40","0.4","0","25.15","0","58.51",""
"2024-03-01 10:31:37","1m ago","NEM","Puts","Jan 2025","27.5","31.68","2.11","0.38","","9","3.64K","771.47K","15.67K","4.18","15.22","11.11","-0.27","0","37.01","0","-50",""
"2024-02-29 14:45:56","1m ago","RSP","Puts","Jun 21","147","162.62","0.95","0.83","","5","12.00K","1.21M","12.07K","15.72","10.69","40","-0.12","-0.01","17.96","0","-57.89",""
"2024-02-29 13:50:16","1m ago","RIVN","Calls","Jun 21","15","11.32","1.1","0.32","","7","8.14K","855.84K","63.21K","3.6","31.65","85.71","0.38","-0.01","85.63","0","-35.62",""
"2024-02-29 12:52:39","1m ago","LYFT","Calls","May 2025","25","15.6","2.28","0.45","","5","938.00","215.41K","42.00","9.34","59.62","100","0.42","0","64.47","0","69.96",""
"2024-02-29 11:38:35","1m ago","CAT","Puts","Mar 08","325","331.33","1.94","0.5","","5","1.13K","247.95K","885.00","6.05","1.86","20","-0.28","-0.24","23.31","0","0",""
"2024-02-29 11:01:16","1m ago","NVAX","Puts","Jan 2026","2.5","4.97","0.84","0.71","","5","2.73K","240.17K","7.91K","2.48","99.32","80","-0.11","0","105.73","0","-2.98",""
"2024-02-28 13:54:43","1m ago","SOFI","Calls","Jan 2026","10","8.93","3.02","0.35","","6","1.19K","361.73K","33.40K","1.07","12.04","0","0.67","0","64.73","0","-28.1",""
"2024-02-28 13:30:47","1m ago","PBR","Puts","Jun 2025","13","16.88","1.12","0.55","","6","4.06K","572.17K","1.81K","4.14","31.85","50","-0.3","0","38.32","0","46.64",""
"2024-02-28 12:50:35","1m ago","DD","Puts","Nov 15","67.5","69.62","3.6","0.83","","5","599.00","221.63K","0.00","2.13","3.15","100","-0.37","-0.01","23.32","0","-48.61",""
"2024-02-28 10:01:15","1m ago","SNOW","Calls","Mar 15","280","230.28","2.51","0.3","","6","1.51K","380.59K","867.00","50.18","21.84","100","0.14","-0.26","78.53","0","0",""
"2024-02-28 09:44:26","1m ago","FSLR","Puts","Jan 2026","135","151.82","25.1","0.7","","7","1.40K","3.54M","1.01K","16.63","12.32","0","-0.27","-0.02","50.22","0","-22.91",""
"2024-02-27 15:41:58","1m ago","TGT","Calls","Sep 20","185","152.21","3.75","0.38","","5","550.00","209.00K","91.00","32.8","21.55","80","0.23","-0.02","28.02","0","186",""
"2024-02-27 13:32:06","1m ago","MA","Calls","Apr 19","495","471.61","3.57","0.86","","6","1.08K","380.00K","627.00","23.85","5.06","0","0.24","-0.08","14.89","0","-30.21",""
"2024-02-27 13:31:36","1m ago","BBAI","Calls","Jan 2026","5","3.29","0.97","1","","5","2.79K","279.40K","635.00","1.74","53.46","40","0.53","0","95.65","0","-33.33",""
"2024-02-27 12:35:10","1m ago","FTNT","Puts","Jun 21","65","69.53","3.05","0.45","","5","695.00","208.51K","2.39K","4.88","7.5","100","-0.31","-0.02","36.32","0","1.64",""
"2024-02-27 11:58:45","1m ago","W","Calls","Jan 2025","120","55.8","2.78","0.5","","5","851.00","243.41K","1.18K","64.54","116.39","100","0.2","-0.01","65.23","0","79.53",""
"2024-02-27 10:55:16","1m ago","FXI","Calls","Apr 19","27","24.31","0.3","0.28","","5","80.64K","2.43M","4.32K","2.7","11.11","0","0.21","-0.01","29.4","0","-89.83",""
"2024-02-27 10:54:34","1m ago","FXI","Calls","Apr 19","25.5","24.31","0.66","0.31","","5","78.23K","5.29M","91.38K","1.2","4.93","0","0.38","-0.01","29.77","0","-77.27",""
"2024-02-27 09:45:46","1m ago","VKTX","Puts","Mar 15","55","63.55","3.45","0.83","","5","1.46K","503.85K","0.00","10.2","18.54","20","-0.26","-0.18","136.28","0","0",""
"2024-02-27 09:43:15","1m ago","VIX","Calls","Apr 17","18","15.12","0.9","0.71","","5","2.16K","198.18K","87.44K","2.87","18.95","0","0.34","-0.02","84.01","0","-66.67",""
"2024-02-26 14:35:39","1m ago","WFC","Calls","Jan 2026","75","54.21","2.11","0.36","","5","995.00","212.72K","71.00","20.7","38.12","20","0.25","0","23.88","0","54.03",""
"2024-02-26 14:23:04","1m ago","VIX","Puts","May 22","15","15.88","1.34","0.27","","8","9.30K","1.26M","78.31K","0.87","5.78","0","-0.36","-0.01","59.54","0","3",""
"2024-02-26 13:53:55","1m ago","WYNN","Puts","Dec 2025","77.5","103.68","6.2","0.7","","7","420.00","267.60K","9.00","26.14","33.73","100","-0.18","-0.01","37.66","0","8.87",""
"2024-02-26 13:51:01","1m ago","RIVN","Puts","Oct 18","5","10.76","0.44","0.26","","10","19.43K","905.80K","1.55K","5.6","111.9","100","-0.08","0","99.07","0","-32.58",""
"2024-02-26 11:35:45","1m ago","CZR","Calls","Jan 2026","60","41.03","5.97","0.71","","5","1.20K","725.44K","659.00","18.89","45.95","60","0.45","-0.01","44.91","0","24.69",""
"2024-02-26 11:18:59","1m ago","INTC","Puts","May 17","40","43.17","1.5","0.26","","8","5.98K","926.71K","3.90K","3","7.5","62.5","-0.29","-0.02","38.04","0","-37.21",""
"2024-02-26 10:30:13","1m ago","KRE","Puts","Jun 21","46","47.78","2.21","0.55","","6","1.37K","304.64K","8.84K","1.8","3.92","0","-0.37","-0.01","30.18","0","-59.41",""
"2024-02-26 10:11:21","1m ago","IOT","Puts","Jul 19","30","34.01","3.3","1","","5","550.00","187.00K","85.00","4.02","13.4","60","-0.29","-0.02","68.21","0","-62.12",""
"2024-02-26 10:06:34","1m ago","CRWD","Puts","Sep 20","200","314.18","5.42","0.56","","5","704.00","387.20K","406.00","114.04","57.02","40","-0.08","-0.05","53.27","0","-44.42",""
"2024-02-26 10:04:13","1m ago","XLE","Puts","Jun 21","85","86.81","2.92","0.83","","5","576.00","170.56K","31.11K","1.73","2.03","0","-0.4","-0.02","20.82","0","-80.1",""
"2024-02-23 14:47:23","1m ago","EA","Puts","Jun 2025","125","142.35","5.6","1","","5","299.00","185.38K","90.00","17.4","13.92","100","-0.23","-0.01","25.7","0","68.75",""
"2024-02-23 13:36:54","1m ago","PSTG","Puts","Mar 15","40","41.09","2.1","0.56","","5","2.64K","601.25K","8.93K","1.01","2.51","20","-0.4","-0.06","70.04","0","0",""
"2024-02-23 13:34:38","1m ago","DIS","Puts","Apr 19","105","107.42","2.38","0.26","","9","1.46K","347.23K","3.20K","2.43","2.32","100","-0.36","-0.03","22.88","0","-95.59",""
